sentiment_category,total_volume_usd,avg_trade_size,median_trade_size,total_trade_value,avg_trade_value,buy_count,sell_count,unique_traders,unique_coins,buy_sell_ratio,total_trades,trades_per_trader
Fear,597809051.23,7182.011019498541,749.4,597809051.9590905,7182.011028257752,41205,42032,32,139,0.9803245146555005,83237,2601.15625
Greed,413047659.29,4574.424489617366,552.2,413047658.4730942,4574.424480570288,42516,47779,31,216,0.8898470039138534,90295,2912.7419354838707
Neutral,180242063.08,4782.732661465797,547.655,180242062.3363324,4782.732641732538,18969,18717,31,147,1.013463696105145,37686,1215.6774193548388
