date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio
2024-05-27,1129.35587,4.499425776892431,251,151115.72,602.0546613545816,90,93,158,74.0,0.35856573705179284,0.5849056603773585
2024-05-29,277.791953,1.6938533719512194,164,84268.76,513.8339024390243,68,67,97,72.0,0.4146341463414634,0.6836734693877551
2024-05-30,20.951433,2.9930618571428576,7,2838.09,405.4414285714286,5,5,2,73.0,0.7142857142857143,1.6666666666666667
2024-05-31,25.35812,1.9506246153846154,13,3636.14,279.70307692307694,4,4,9,73.0,0.3076923076923077,0.4
2024-06-01,91.510419,3.66041676,25,12834.62,513.3848,9,9,16,72.0,0.36,0.5294117647058824
2024-06-02,192.906947,2.074268247311828,93,29464.51,316.822688172043,34,34,59,73.0,0.3655913978494624,0.5666666666666667
2024-06-03,562.808208,8.040117257142859,70,21466.86,306.66942857142857,44,44,26,73.0,0.6285714285714286,1.6296296296296295
2024-06-04,52.211438,0.9851214716981133,53,24243.41,457.42283018867926,25,25,28,73.0,0.4716981132075472,0.8620689655172413
2024-06-05,56.055506,1.038064925925926,54,25350.77,469.4587037037037,16,17,37,75.0,0.2962962962962963,0.4473684210526316
2024-06-06,274.173187,1.1716802863247862,234,137557.76,587.8536752136753,100,102,132,78.0,0.42735042735042733,0.7669172932330827
2024-06-07,8902.467416,20.23288049090909,440,1098588.76,2496.7926363636366,176,181,259,77.0,0.4,0.6961538461538461
2024-06-08,129.13883900000002,4.453063413793104,29,97351.88,3356.961379310345,8,21,8,72.0,0.27586206896551724,2.3333333333333335
2024-06-09,0.0,0.0,17,22410.22,1318.2482352941176,0,17,0,75.0,0.0,17.0
2024-06-10,31.266804999999998,0.589939716981132,53,46587.93,879.0175471698113,18,22,31,72.0,0.33962264150943394,0.6875
2024-06-11,4320.631811,35.12708789430894,123,373279.92,3034.7960975609753,17,114,9,74.0,0.13821138211382114,11.4
2024-06-12,-21886.531493,-86.16744682283463,254,193407.96,761.4486614173228,21,115,139,72.0,0.08267716535433071,0.8214285714285714
2024-06-13,6632.757115,83.95895082278481,79,132577.22,1678.1926582278481,19,76,3,70.0,0.24050632911392406,19.0
2024-06-14,10258.592609,330.9223422258064,31,139868.66,4511.892258064517,15,31,0,74.0,0.4838709677419355,31.0
2024-06-15,3369.958346,43.20459417948718,78,718350.25,9209.61858974359,38,9,69,74.0,0.48717948717948717,0.12857142857142856
2024-06-16,0.0,0.0,11,25235.079999999998,2294.0981818181817,0,0,11,71.0,0.0,0.0
2024-06-17,10599.502375,278.9342730263158,38,368380.12,9694.213684210526,25,32,6,71.0,0.6578947368421053,4.571428571428571
2024-06-18,282.57636,11.3030544,25,263314.79,10532.5916,4,21,4,74.0,0.16,4.2
2024-06-19,4887.656944,80.12552367213115,61,417071.12,6837.231475409836,31,3,58,64.0,0.5081967213114754,0.05084745762711865
2024-06-20,57478.456026,1473.8065647692308,39,207990.8,5333.097435897435,8,0,39,60.0,0.20512820512820512,0.0
2024-06-21,773.5582039999999,9.66947755,80,176264.49,2203.306125,3,68,12,63.0,0.0375,5.230769230769231
2024-06-22,756.876565,31.536523541666668,24,169594.27000000002,7066.427916666667,8,4,20,53.0,0.3333333333333333,0.19047619047619047
2024-06-23,0.0,0.0,5,1792.12,358.424,0,0,5,55.0,0.0,0.0
2024-06-24,0.0,0.0,31,403002.8,13000.090322580645,0,25,6,51.0,0.0,3.5714285714285716
