sentiment_category,total_pnl,mean_pnl,median_pnl,std_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,loss_trades,win_rate
Fear,4096265.690132,49.212077443108235,0.0,990.8753975658888,83237,597809051.23,7182.011019498541,33950,6264,0.4078714994533681
Greed,4865300.583624,53.88228122956974,0.0,976.9642814803933,90295,413047659.29,4574.424489617366,37952,8077,0.4203112021706628
Neutral,1292920.67555,34.30771839807886,0.0,517.1222197292019,37686,180242063.08,4782.732661465797,14961,3198,0.3969909250119408
