date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio,sentiment_lag_1,sentiment_lag_3,sentiment_lag_7,sentiment_ma_7,sentiment_ma_14,sentiment_std_7,sentiment_change_1d,sentiment_change_7d,sentiment_momentum,sentiment_zone,zone_change,pnl_lag_1,pnl_ma_7,cumulative_pnl,next_day_pnl
2023-05-01,0.0,0.0,3,477.0,159.0,0,3,0,63.0,0.0,3.0,,,,,,,,,,Greed,1,,,0.0,0.0
2023-12-05,0.0,0.0,9,50005.83,5556.203333333334,0,7,2,75.0,0.0,2.3333333333333335,63.0,,,,,,12.0,,,Extreme Greed,1,0.0,,0.0,-205.43473700000007
2023-12-14,-205.43473700000007,-18.675885181818188,11,113203.35,10291.213636363636,4,5,6,72.0,0.36363636363636365,0.7142857142857143,75.0,,,,,,-3.0,,,Greed,1,0.0,,-205.43473700000007,-24.632033999999997
2023-12-15,-24.632033999999997,-12.316016999999999,2,10609.95,5304.975,0,2,0,70.0,0.0,2.0,72.0,63.0,,,,,-2.0,,,Greed,0,-205.43473700000007,,-230.06677100000007,0.0
2023-12-16,0.0,0.0,3,15348.77,5116.256666666667,0,3,0,67.0,0.0,3.0,70.0,75.0,,,,,-3.0,,,Greed,0,-24.632033999999997,,-230.06677100000007,304.982785
2023-12-17,304.982785,21.78448464285714,14,116278.02,8305.572857142857,7,3,11,73.0,0.5,0.25,67.0,72.0,,,,,6.0,,,Greed,0,0.0,,74.9160139999999,0.0
2023-12-18,0.0,0.0,2,31164.179999999997,15582.089999999998,0,2,0,65.0,0.0,2.0,73.0,70.0,,69.28571428571429,,4.423960733486292,-8.0,,-4.285714285714292,Greed,0,304.982785,10.702287714285701,74.9160139999999,1000.5386120000001
2023-12-19,1000.5386120000001,66.70257413333334,15,91602.41,6106.827333333334,10,5,10,73.0,0.6666666666666666,0.45454545454545453,65.0,67.0,63.0,70.71428571428571,,3.5923198500080535,8.0,10.0,2.285714285714292,Greed,0,0.0,153.63637514285713,1075.454626,162.732282
2023-12-20,162.732282,9.040682333333333,18,141636.79,7868.710555555556,8,10,8,74.0,0.4444444444444444,1.1111111111111112,73.0,73.0,75.0,70.57142857142857,,3.408672412985384,1.0,-1.0,3.4285714285714306,Greed,0,1000.5386120000001,176.88384399999998,1238.186908,537.211402
2023-12-21,537.211402,10.963498000000001,49,125233.97,2555.795306122449,26,22,27,70.0,0.5306122448979592,0.7857142857142857,74.0,65.0,72.0,70.28571428571429,,3.352326839390101,-4.0,-2.0,-0.2857142857142918,Greed,0,162.732282,282.9761495714286,1775.39831,141.832675
2023-12-22,141.832675,14.1832675,10,88874.28,8887.428,2,8,2,74.0,0.2,2.6666666666666665,70.0,73.0,70.0,70.85714285714286,,3.62530786869986,4.0,4.0,3.142857142857139,Greed,0,537.211402,306.7568222857143,1917.2309850000001,146.936704
2023-12-23,146.936704,11.302823384615383,13,78438.25,6033.711538461538,8,5,8,70.0,0.6153846153846154,0.5555555555555556,74.0,74.0,67.0,71.28571428571429,,3.2513733362117225,-4.0,3.0,-1.2857142857142918,Greed,0,141.832675,327.74778000000003,2064.1676890000003,1008.619956
2023-12-24,1008.619956,25.862050153846155,39,402954.94,10332.177948717948,15,21,18,71.0,0.38461538461538464,1.105263157894737,70.0,70.0,73.0,71.0,,3.1622776601683755,1.0,-2.0,0.0,Greed,0,146.936704,428.26737585714284,3072.7876450000003,-245.081348
2023-12-25,-245.081348,-81.69378266666666,3,59948.51,19982.836666666666,0,2,1,73.0,0.0,1.0,71.0,74.0,65.0,72.14285714285714,70.71428571428571,1.7728105208558305,2.0,8.0,0.8571428571428612,Greed,0,1008.619956,393.25575471428573,2827.706297,-704.8892269999999
2023-12-27,-704.8892269999999,-25.174615249999995,28,171411.06,6121.823571428571,4,15,13,73.0,0.14285714285714285,1.0714285714285714,73.0,70.0,73.0,72.14285714285714,71.42857142857143,1.7728105208558305,0.0,0.0,0.8571428571428612,Greed,0,-245.081348,149.6232062857143,2122.81707,-970.730876
2023-12-28,-970.730876,-42.20569026086957,23,100117.25,4352.923913043478,0,10,13,73.0,0.0,0.7142857142857143,73.0,71.0,74.0,72.0,71.28571428571429,1.6329931618554447,0.0,-1.0,1.0,Greed,0,-704.8892269999999,-12.300101999999972,1152.086194,508.92214299999995
2023-12-29,508.92214299999995,10.178442859999999,50,569559.72,11391.1944,15,31,19,65.0,0.3,1.55,73.0,73.0,70.0,71.28571428571429,70.78571428571429,3.093772546815382,-8.0,-5.0,-6.285714285714292,Greed,0,-970.730876,-16.341424714285715,1661.008337,354.998648
2023-12-30,354.998648,6.826897076923077,52,702550.21,13510.58096153846,23,20,32,68.0,0.4423076923076923,0.6060606060606061,65.0,73.0,74.0,70.42857142857143,70.64285714285714,3.047247001100213,3.0,-6.0,-2.4285714285714306,Greed,0,508.92214299999995,14.110857142857144,2016.006985,-129.53146
2024-01-01,-129.53146,-7.196192222222223,18,264239.52999999997,14679.973888888888,1,10,8,65.0,0.05555555555555555,1.1111111111111112,68.0,73.0,70.0,69.71428571428571,70.5,3.6839419880650293,-3.0,-5.0,-4.714285714285708,Greed,0,354.998648,-25.384594857142854,1886.475525,783.979116
2024-01-02,783.979116,46.11641858823529,17,121348.74,7138.1611764705885,8,9,8,71.0,0.47058823529411764,1.0,65.0,65.0,71.0,69.71428571428571,70.35714285714286,3.6839419880650293,6.0,0.0,1.2857142857142918,Greed,0,-129.53146,-57.47614342857144,2670.4546410000003,866.015507
2024-01-03,866.015507,12.925604582089552,67,394499.36,5888.050149253731,28,32,35,70.0,0.417910447761194,0.8888888888888888,71.0,68.0,73.0,69.28571428571429,70.71428571428571,3.4016802570830365,-1.0,-3.0,0.7142857142857082,Greed,0,783.979116,101.2519787142857,3536.4701480000003,-67.60364
2024-01-04,-67.60364,-13.520728,5,99792.54000000001,19958.508,0,2,3,68.0,0.0,0.5,70.0,65.0,73.0,68.57142857142857,70.35714285714286,2.992052966172371,-2.0,-5.0,-0.5714285714285694,Greed,0,866.015507,192.29277685714283,3468.8665080000005,164.141565
2024-01-05,164.141565,2.486993409090909,66,1703942.66,25817.31303030303,13,31,35,72.0,0.19696969696969696,0.8611111111111112,68.0,71.0,73.0,68.42857142857143,70.21428571428571,2.7602622373694037,4.0,-1.0,3.5714285714285694,Greed,0,-67.60364,354.4174112857142,3633.0080730000004,135.58166400000002
2024-01-06,135.58166400000002,6.16280290909091,22,298521.4,13569.154545454547,10,11,11,70.0,0.45454545454545453,0.9166666666666666,72.0,70.0,65.0,69.14285714285714,70.21428571428571,2.3401261667248634,-2.0,5.0,0.8571428571428612,Greed,0,164.141565,301.0830571428572,3768.5897370000002,-835.681235
2024-01-07,-835.681235,-8.615270463917525,97,1048850.06,10812.887216494846,9,52,45,71.0,0.09278350515463918,1.1304347826086956,70.0,68.0,68.0,69.57142857142857,70.0,2.3704530408863933,1.0,3.0,1.4285714285714306,Greed,0,135.58166400000002,130.98593099999997,2932.908502,-269.874439
2024-01-08,-269.874439,-2.1083940546875,128,1522452.43,11894.159609375,32,40,88,71.0,0.25,0.449438202247191,71.0,72.0,65.0,70.42857142857143,70.07142857142857,1.2724180205606785,0.0,6.0,0.5714285714285694,Greed,0,-835.681235,110.93693399999997,2663.034063,-826.349863
2024-01-09,-826.349863,-11.804998042857143,70,870051.97,12429.313857142857,18,28,42,76.0,0.2571428571428571,0.6511627906976745,71.0,70.0,71.0,71.14285714285714,70.42857142857143,2.4784787961281944,5.0,5.0,4.857142857142861,Extreme Greed,1,-269.874439,-119.11006300000005,1836.6842000000001,-1517.091342
2024-01-10,-1517.091342,-7.860576901554404,193,2057479.48,10660.515440414507,41,92,101,73.0,0.21243523316062177,0.9019607843137255,76.0,71.0,70.0,71.57142857142857,70.42857142857143,2.507132682112017,-3.0,3.0,1.4285714285714306,Greed,1,-826.349863,-459.55389857142865,319.5928580000002,-164.08950099999998
2024-01-11,-164.08950099999998,-7.813785761904761,21,305314.1,14538.766666666666,5,13,8,76.0,0.23809523809523808,1.4444444444444444,73.0,71.0,68.0,72.71428571428571,70.64285714285714,2.429971585175796,3.0,8.0,3.285714285714292,Extreme Greed,1,-1517.091342,-473.3375930000001,155.50335700000022,-1925.519024
2024-01-12,-1925.519024,-275.0741462857143,7,200082.27,28583.181428571428,0,5,2,71.0,0.0,1.6666666666666667,76.0,76.0,72.0,72.57142857142857,70.5,2.50713268211201,-5.0,-1.0,-1.5714285714285694,Greed,1,-164.08950099999998,-771.8605342857144,-1770.0156669999997,152.85358
2024-01-15,152.85358,10.918112857142857,14,50636.1,3616.8642857142854,9,5,9,52.0,0.6428571428571429,0.5,71.0,73.0,70.0,70.0,69.57142857142857,8.246211251235323,-19.0,-18.0,-18.0,Neutral,1,-1925.519024,-769.3931177142857,-1617.1620869999997,-2299.171458
